CustomerID,Recency,Frequency,Monetary
1,14,9,486.82
2,90,5,1767.53
3,39,9,9.15
4,27,2,682.98
5,5,10,292.36
6,5,6,1087.86
7,1,9,187.65
8,60,4,563.96
9,27,1,19.33
10,36,6,122.52
11,0,8,20.81
12,105,6,1110.81
13,53,2,509.44
14,7,3,574.27
15,6,5,834.02
16,6,3,26.68
17,10,3,146.13
18,22,5,22.11
19,16,6,71.02
20,10,5,78.16
21,28,3,189.96
22,4,5,93.82
23,10,3,31.93
24,13,3,54.99
25,18,6,47.8
26,46,5,1084.43
27,6,6,427.25
28,21,2,1030.38
29,26,4,173.81
30,1,7,97.87
31,28,6,480.28
32,5,5,118.47
33,2,4,106.74
34,89,3,79.39
35,101,3,41.67
36,49,7,88.9
37,10,7,131.7
38,3,6,336.25
39,34,6,19.38
40,17,7,70.91
41,3,8,496.68
42,20,6,47.67
43,1,3,125.86
44,72,7,599.99
45,8,5,50.5
46,32,5,25.91
47,11,7,198.81
48,22,4,108.04
49,23,9,248.63
50,6,4,488.59
51,104,5,44.25
52,44,2,260.75
53,84,6,211.27
54,67,3,46.67
55,27,6,293.45
56,76,2,95.91
57,2,3,200.73
58,6,5,25.76
59,1,3,184.62
60,11,4,109.79
61,14,5,518.43
62,9,6,17.6
63,52,3,162.7
64,13,3,183.99
65,9,4,387.3
66,23,5,256.2
67,4,4,330.08
68,48,2,450.24
69,2,6,594.59
70,130,6,113.01
71,44,8,231.67
72,6,1,549.98
73,0,6,1365.52
74,50,2,660.87
75,36,5,139.31
76,39,2,65.14
77,44,6,201.65
78,2,4,406.02
79,13,3,203.52
80,3,5,198.02
81,59,6,546.47
82,29,3,134.54
83,12,4,589.39
84,1,8,156.67
85,11,4,119.35
86,11,10,181.54
87,39,4,431.21
88,30,5,40.4
89,65,10,65.6
90,19,3,907.52
91,3,4,57.89
92,37,7,251.61
93,42,5,259.76
94,24,10,201.78
95,44,4,310.48
96,20,2,78.34
97,22,3,241.33
98,16,5,139.65
99,0,8,325.12
100,3,4,45.67
101,0,3,253.8
102,30,8,61.47
103,11,6,97.99
104,21,8,74.04
105,71,3,60.58
106,8,3,524.11
107,15,5,100.94
108,42,11,785.7
109,7,7,1051.23
110,2,4,254.07
111,10,3,46.3
112,5,8,140.78
113,79,8,479.45
114,49,3,137.37
115,30,3,27.31
116,61,6,244.11
117,48,2,559.53
118,6,7,476.78
119,66,5,57.76
120,23,5,335.12
121,49,6,74.73
122,67,1,73.85
123,11,10,621.61
124,3,2,86.17
125,7,5,91.65
126,16,4,0.2
127,51,5,613.61
128,59,4,471.92
129,0,5,296.12
130,21,6,416.21
131,16,1,49.48
132,7,3,183.93
133,3,2,129.8
134,12,5,29.54
135,85,4,199.74
136,11,7,760.51
137,21,7,12.27
138,36,2,103.37
139,13,6,69.78
140,107,7,81.6
141,98,2,717.21
142,8,7,189.37
143,20,5,188.38
144,10,7,428.86
145,10,6,50.35
146,1,5,200.4
147,28,6,168.63
148,20,5,272.58
149,1,4,2317.06
150,9,7,440.18
151,71,1,152.18
152,8,8,527.3
153,4,4,56.16
154,20,5,9.28
155,127,3,68.62
156,8,7,124.84
157,33,2,214.36
158,43,5,286.45
159,8,10,724.41
160,39,7,213.92
161,13,7,208.71
162,30,10,15.46
163,30,1,10.66
164,23,5,240.33
165,2,3,172.97
166,54,8,548.24
167,11,7,52.55
168,6,3,7.59
169,1,1,178.83
170,26,5,81.34
171,33,3,15.27
172,0,6,386.86
173,21,3,35.5
174,7,4,281.19
175,31,5,98.99
176,5,8,57.17
177,35,7,143.29
178,14,5,485.01
179,82,4,149.32
180,4,6,416.81
181,12,8,40.23
182,3,4,444.54
183,77,3,81.12
184,62,2,339.4
185,8,3,250.26
186,32,9,794.13
187,50,5,146.97
188,24,4,20.54
189,22,7,5.8
190,8,8,526.09
191,2,4,223.17
192,68,4,447.82
193,69,8,80.14
194,30,5,126.97
195,12,5,9.17
196,12,6,977.07
197,38,7,330.67
198,68,2,811.84
199,65,1,92.57
200,45,7,283.61
201,30,5,340.43
202,2,4,114.62
203,5,4,565.38
204,68,3,882.15
205,27,8,648.47
206,0,7,403.05
207,3,1,97.5
208,32,2,99.23
209,0,4,991.99
210,5,6,3.1
211,23,4,377.69
212,35,6,367.5
213,31,8,292.41
214,7,7,1384.83
215,37,5,112.14
216,8,2,124.64
217,11,1,24.67
218,41,7,175.45
219,31,4,90.76
220,56,1,126.2
221,32,6,539.77
222,25,5,822.25
223,2,8,61.64
224,13,5,139.81
225,9,4,791.97
226,8,10,19.14
227,108,7,29.07
228,14,4,53.3
229,66,8,271.32
230,29,5,48.92
231,47,5,1033.32
232,20,5,177.56
233,25,2,208.86
234,20,3,84.97
235,6,4,191.01
236,38,9,325.34
237,9,0,417.3
238,0,5,420.57
239,31,5,258.75
240,5,5,704.15
241,84,5,510.15
242,92,4,424.47
243,73,9,17.16
244,13,6,2.07
245,0,2,71.65
246,79,6,326.77
247,16,6,158.9
248,102,6,154.45
249,99,5,647.77
