CustomerID,Recency,Frequency,Monetary
CUST0001,14,9,501.96
CUST0002,90,5,257.48
CUST0003,39,9,664.65
CUST0004,27,2,95.2
CUST0005,5,10,463.52
CUST0006,5,6,241.84
CUST0007,1,9,511.75
CUST0008,60,4,224.68
CUST0009,27,1,36.67
CUST0010,36,6,278.68
CUST0011,1,8,294.46
CUST0012,105,6,215.42
CUST0013,53,2,30.8
CUST0014,7,3,136.15
CUST0015,6,5,79.78
CUST0016,6,3,122.23
CUST0017,10,3,113.24
CUST0018,22,5,355.19
CUST0019,16,6,178.21
CUST0020,10,5,173.88
CUST0021,28,3,127.11
CUST0022,4,5,191.99
CUST0023,10,3,232.16
CUST0024,13,3,81.69
CUST0025,18,6,254.47
CUST0026,46,5,283.21
CUST0027,6,6,405.74
CUST0028,21,2,84.79
CUST0029,26,4,46.55
CUST0030,1,7,328.99
CUST0031,28,6,462.24
CUST0032,5,5,278.22
CUST0033,2,4,218.91
CUST0034,89,3,86.22
CUST0035,101,3,80.06
CUST0036,49,7,352.53
CUST0037,10,7,150.31
CUST0038,3,6,393.76
CUST0039,34,6,198.4
CUST0040,17,7,346.55
CUST0041,3,8,98.28
CUST0042,20,6,252.74
CUST0043,1,3,78.85
CUST0044,72,7,35.0
CUST0045,8,5,304.18
CUST0046,32,5,414.12
CUST0047,11,7,508.13
CUST0048,22,4,254.54
CUST0049,23,9,375.46
CUST0050,6,4,264.47
CUST0051,104,5,372.39
CUST0052,44,2,105.47
CUST0053,84,6,157.88
CUST0054,67,3,120.04
CUST0055,27,6,504.32
CUST0056,76,2,97.01
CUST0057,2,3,15.0
CUST0058,6,5,103.11
CUST0059,1,3,124.53
CUST0060,11,4,282.87
CUST0061,14,5,222.69
CUST0062,9,6,426.53
CUST0063,52,3,118.43
CUST0064,13,3,32.14
CUST0065,9,4,160.68
CUST0066,23,5,284.49
CUST0067,4,4,220.96
CUST0068,48,2,49.8
CUST0069,2,6,257.86
CUST0070,130,6,622.16
CUST0071,44,8,202.68
CUST0072,6,1,63.21
CUST0073,1,6,48.4
CUST0074,50,2,134.55
CUST0075,36,5,160.77
CUST0076,39,2,116.08
CUST0077,44,6,145.02
CUST0078,2,4,223.27
CUST0079,13,3,95.48
CUST0080,3,5,178.5
CUST0081,59,6,353.04
CUST0082,29,3,124.18
CUST0083,12,4,230.43
CUST0084,1,8,369.47
CUST0085,11,4,205.4
CUST0086,11,10,589.02
CUST0087,39,4,172.0
CUST0088,30,5,150.4
CUST0089,65,10,393.54
CUST0090,19,3,221.71
CUST0091,3,4,209.29
CUST0092,37,7,231.71
CUST0093,42,5,290.16
CUST0094,24,10,593.66
CUST0095,44,4,241.6
CUST0096,20,2,60.89
CUST0097,22,3,109.06
CUST0098,16,5,182.32
CUST0099,1,8,342.3
CUST0100,3,4,243.11
CUST0101,1,3,167.77
CUST0102,30,8,460.03
CUST0103,11,6,462.48
CUST0104,21,8,510.22
CUST0105,71,3,141.49
CUST0106,8,3,78.97
CUST0107,15,5,178.55
CUST0108,42,11,492.42
CUST0109,7,7,466.08
CUST0110,2,4,197.81
CUST0111,10,3,110.63
CUST0112,5,8,282.74
CUST0113,79,8,388.87
CUST0114,49,3,203.4
CUST0115,30,3,245.46
CUST0116,61,6,275.31
CUST0117,48,2,98.21
CUST0118,6,7,180.05
CUST0119,66,5,443.92
CUST0120,23,5,109.9
CUST0121,49,6,440.6
CUST0122,67,1,42.69
CUST0123,11,10,380.13
CUST0124,3,2,55.6
CUST0125,7,5,491.0
